rank,feature_raw,feature_clean,importance,lightgbm_importance,permutation_importance,category,clinical_interpretation,modifiable
1,continuous__hospital_los_days,hospital_los_days,1.0,1.0,1.0,Utilization,"Total hospital length of stay reflects overall illness severity. Longer stays indicate more complex illness, complications, or incomplete recovery - all strong predictors of early readmission.",No
2,continuous__kdigo_stage_max_first_24h,kdigo_stage_max_first_24h,0.4170092028253802,0.5877192982456141,0.24629910740514627,Laboratory - Renal,"KDIGO (Kidney Disease: Improving Global Outcomes) stage measures acute kidney injury severity. Higher stages (1-3) indicate worsening renal function - a critical determinant of ICU outcomes, discharge readiness, and 30-day readmission risk. AKI often persists post-discharge.",Yes
3,continuous__weight_kg,weight_kg,0.3045941576177525,0.5877192982456141,0.021469016989890916,Demographics,"Body weight affects pharmacokinetics (drug dosing), mechanical ventilation settings (tidal volumes), and metabolic demands. Both extremes (underweight and obesity) predict worse ICU outcomes.",No
4,binary__height_available_flag,height_available_flag,0.3044956902463061,0.4868421052631579,0.12214927522945439,MNAR Flag,Height not measured during admission signals an emergency presentation where staff had no time for routine vitals. This is a proxy for admission acuity - emergency admissions have higher readmission rates than planned admissions. (MNAR feature - missingness is the signal),No
5,continuous__index_icu_los_hours,index_icu_los_hours,0.20380707996410266,0.37280701754385964,0.0348071423843457,Utilization,ICU length of stay captures how long the patient required intensive monitoring and intervention. Longer ICU stays reflect greater illness severity and predict higher readmission risk.,No
6,continuous__index_icu_los_minutes,index_icu_los_minutes,0.17465367244834173,0.3333333333333333,0.015974011563350175,Utilization,ICU length of stay captures how long the patient required intensive monitoring and intervention. Longer ICU stays reflect greater illness severity and predict higher readmission risk.,No
7,continuous__urine_output_rate_ml_per_kg_hr,urine_output_rate_ml_per_kg_hr,0.15350877192982457,0.30701754385964913,0.0,Laboratory - Renal,"Urine output rate (mL/kg/hr) is a direct measure of renal perfusion and kidney function. Low urine output indicates oliguria, a sign of acute kidney injury or hemodynamic compromise.",Yes
8,continuous__hematocrit_first_24h_min,hematocrit_first_24h_min,0.12431800996604143,0.2412280701754386,0.00740794975664426,Laboratory - Hematology,"Hematocrit/hemoglobin measures red blood cell concentration. Low values indicate anemia, which impairs oxygen delivery to tissues, delays wound healing, and predicts post-discharge fatigue and complications.",Yes
9,continuous__days_since_last_discharge,days_since_last_discharge,0.12121198282478061,0.23684210526315788,0.00558186038640334,Utilization History,Fewer days since previous discharge indicates a pattern of frequent hospitalizations - the strongest socioeconomic predictor of readmission. Patients discharged recently are not fully recovered.,No
10,continuous__bmi,bmi,0.11777120936715849,0.2324561403508772,0.003086278383439772,Demographics,Body mass index (BMI) reflects nutritional status. Underweight patients have depleted reserves; obese patients face higher complications. Both extremes increase readmission risk.,No
11,continuous__charlson_comorbidity_index,charlson_comorbidity_index,0.11331583477234547,0.21929824561403508,0.00733342393065587,Comorbidity,Charlson Comorbidity Index (CCI) quantifies the burden of chronic diseases. Each point adds ~10% to 10-year mortality risk. Higher CCI patients have less reserve to recover from critical illness and require more post-discharge support.,No
12,continuous__temp_c_first_24h_mean,temp_c_first_24h_mean,0.10335326337280328,0.20614035087719298,0.0005661758684135745,Vital Sign,"Temperature dysregulation (fever or hypothermia) indicates active infection, systemic inflammatory response, or impaired thermoregulation - all signs of incomplete recovery.",Yes
13,categorical__race_MISSING,race_MISSING,0.09915928411893753,0.18421052631578946,0.014108041922085587,Data Quality,"Missing race/ethnicity data may reflect documentation patterns in certain care settings. In some analyses, missingness correlates with care pathway differences affecting readmission rates.",No
14,continuous__ptt_first_24h_max,ptt_first_24h_max,0.09482795066464746,0.18859649122807018,0.0010594101012247404,Laboratory - Hematology,"Coagulation markers (PTT, PT, INR) reflect clotting cascade function. Abnormal values indicate liver disease, anticoagulant effects, or consumptive coagulopathy - predicting bleeding or thrombotic events.",Yes
15,continuous__bun_first_24h_max,bun_first_24h_max,0.09274785899297545,0.18421052631578946,0.001285191670161437,Laboratory - Renal,"Blood urea nitrogen reflects kidney function and protein metabolism. Elevated BUN indicates renal impairment or dehydration, both associated with post-discharge complications.",Yes
16,continuous__abs_lymphocytes_first_24h_max,abs_lymphocytes_first_24h_max,0.09210526315789473,0.18421052631578946,0.0,Laboratory - Immunology,"Lymphocyte count reflects immune system status. Lymphopenia (low count) after critical illness indicates immunosuppression, predicting infection susceptibility and readmission for sepsis.",Yes
17,continuous__glucose_first_24h_max_vitals,glucose_first_24h_max_vitals,0.09210526315789473,0.18421052631578946,0.0,Laboratory - Metabolic,"Blood glucose dysregulation (hyperglycemia >180 mg/dL or hypoglycemia <70 mg/dL) during critical illness impairs wound healing, immune function, and organ recovery. Post-ICU glucose control is critical.",Yes
18,continuous__sofa_score_first_24h,sofa_score_first_24h,0.09039733765434735,0.17543859649122806,0.005356078817466643,Severity Score,Sequential Organ Failure Assessment (SOFA) score quantifies multi-organ dysfunction across 6 organ systems. Higher scores predict ICU mortality and worse post-discharge outcomes. SOFA at ICU exit reflects residual organ dysfunction.,Yes
19,continuous__platelets_first_24h_min,platelets_first_24h_min,0.08993866091557456,0.17982456140350878,5.2760427640365756e-05,Laboratory - Hematology,"Platelet count reflects bleeding risk and bone marrow function. Thrombocytopenia indicates sepsis, DIC, or drug effects; all predict complications and readmission.",Yes
20,continuous__age_at_admission,age_at_admission,0.08911645084936533,0.17543859649122806,0.002794305207502607,Demographics,"Older age is associated with reduced physiologic reserve, increased frailty, more comorbidities, and decreased ability to recover from critical illness - all contributing to higher readmission rates.",No
